N°,Nombre,Imagen,Tipo,Fuerza,Coste de oro,Raza,Frecuencia,Edición,Habilidad,Código,Arte,Texto épico
75,Medusa,https://static.wikia.nocookie.net/myl-tcg/images/e/eb/Medusa.jpg/revision/latest?cb=20201008090247&path-prefix=es,Aliado,1,4,Sin Raza,Real,El Reto,"Paga 3 de oro, y una carta oponente no puede atacar en este turno.",76 - 126 / Primera Edición,Mauricio Herrera,Sólo un reflejo puede evitar que su mirada te deje como estatua.
76,Nibelungos,https://static.wikia.nocookie.net/myl-tcg/images/e/ee/Nibelungos.jpg/revision/latest?cb=20201008090708&path-prefix=es,Aliado,2,4,Sin Raza,Vasallo,El Reto,Sin Habilidad,77 - 126 / Primera Edición,Mauricio Herrera,Los hijos de la niebla habitan la oscuridad del mundo subterráneo y son poseedores de grandes tesoros.
77,Anchimallén,https://static.wikia.nocookie.net/myl-tcg/images/c/c3/Anchimallen.jpg/revision/latest?cb=20201008091106&path-prefix=es,Talismán,Sin Fuerza,2,Sin Raza,Cortesano,El Reto,Envía al cementerio una carta al azar de la mano de tu oponente.,78 - 126 / Primera Edición,Cristian Aguirre,Las praderas de la araucanía se iluminan con su brillante y fugaz luz.
78,Estatua de Oro,https://static.wikia.nocookie.net/myl-tcg/images/5/55/Estatua_de_oro.jpg/revision/latest?cb=20201008091654&path-prefix=es,Oro,Sin Fuerza,Sin Costo,Sin Raza,Sin Frecuencia,El Reto,Sin Habilidad,79 - 126 / Primera Edición,Waldo Retamales,"Oda a la riqueza, ídolo que revela todas las miserias del egoísta corazón humano."
79,Ymir,https://static.wikia.nocookie.net/myl-tcg/images/a/ad/Ymir.jpg/revision/latest?cb=20201008092015&path-prefix=es,Talismán,Sin Fuerza,3,Sin Raza,Vasallo,El Reto,Los aliados del oponente no pueden atacar en este turno.,80 - 126 / Primera Edición,Cristian Aguirre,Hijo del hielo y el fuego. Sus ojos tienen atrapado el brillo de la Luna.
80,Hadas Guerreras,https://static.wikia.nocookie.net/myl-tcg/images/b/be/Hadas_guerreras.jpg/revision/latest?cb=20201008092612&path-prefix=es,Aliado,1,1,Sin Raza,Vasallo,El Reto,Sin Habilidad,81 - 126 / Primera Edición,Mauricio Herrera,La delicadeza se vuelve furia. Ejército de ninfas mágicas y letales.
81,Loki,https://static.wikia.nocookie.net/myl-tcg/images/1/16/Loki.jpg/revision/latest?cb=20201008093031&path-prefix=es,Talismán,Sin Fuerza,1,Sin Raza,Vasallo,El Reto,Puedes ver al azar una carta de tu oponente.,82 - 126 / Primera Edición,Mauricio Herrera,El fuego consume todos los calabozos que pretenden aislar a la maldad.
82,Ícaro,https://static.wikia.nocookie.net/myl-tcg/images/2/26/Icaro.jpg/revision/latest?cb=20201008093540&path-prefix=es,Talismán,Sin Fuerza,0,Sin Raza,Vasallo,El Reto,Puedes robar una carta de tu castillo.,83 - 126 / Primera Edición,Cristian Aguirre,"Volar hasta alcanzar el sol, sueño imposible que cautiva y conduce a las almas ingenuas a un destino fatal."
83,Duende,https://static.wikia.nocookie.net/myl-tcg/images/4/4f/Duende.jpg/revision/latest?cb=20201008093959&path-prefix=es,Aliado,1,3,Sin Raza,Vasallo,El Reto,Sin Habilidad,84 - 126 / Primera Edición,Cristian Aguirre,Toda la armonía del mundo puede ser alterada por sus desquiciados comportamientos.
84,Xolotl,https://static.wikia.nocookie.net/myl-tcg/images/2/27/Xolotl.jpg/revision/latest?cb=20221117112706&path-prefix=es,Talismán,Sin Fuerza,4,Sin Raza,Cortesano,El Reto,Destruye todas las cartas oponentes de fuerza superior a 3.,85 - 126 / Primera Edición,Mauricio Herrera,Acompañante y guía del alma en las duras pruebas que debe enfrentar tras la muerte.
85,Bárbaro,https://static.wikia.nocookie.net/myl-tcg/images/7/7f/B%C3%A1rbaro.jpg/revision/latest?cb=20201008094900&path-prefix=es,Aliado,3,5,Sin Raza,Vasallo,El Reto,Sin Habilidad,86 - 126 / Primera Edición,Mauricio Herrera,"Desde los elevados pliegues del mundo, ataca decidido el guerrero de hierro."
86,Vishnu,https://static.wikia.nocookie.net/myl-tcg/images/a/a6/Vishnu.jpg/revision/latest?cb=20221117112812&path-prefix=es,Talismán,Sin Fuerza,3,Sin Raza,Vasallo,El Reto,Destruye un oro de tu oponente.,87 - 126 / Primera Edición,Waldo Retamales,Protector de la armonía universal. Destruye el caos y ordena el cosmos para que lo habiten seres humanos y divinos.
87,Isis,https://static.wikia.nocookie.net/myl-tcg/images/c/cd/Isis.jpg/revision/latest?cb=20201008095810&path-prefix=es,Aliado,1,1,Sin Raza,Vasallo,El Reto,Sin Habilidad,88 - 126 / Primera Edición,Waldo Retamales,"Eterna poseedora del sentido de maternidad, Isis protege a su hijo Horus, el dios halcón, de todo los peligros."
88,La Quimera,https://static.wikia.nocookie.net/myl-tcg/images/c/c2/La_Quimera.png/revision/latest?cb=20200706010314&path-prefix=es,Aliado,1,1,Sin Raza,Vasallo,El Reto,Mira las tres cartas superiores de tu castillo y devuélvelas en el mismo orden.,89 - 126 / Primera Edición,Waldo Retamales,Sólo un alma heroica será capaz de derrotar al monstruo que respira fuego.
89,Gnomo,https://static.wikia.nocookie.net/myl-tcg/images/6/6c/Gnomo.jpg/revision/latest?cb=20201006043536&path-prefix=es,Aliado,1,2,Sin Raza,Vasallo,El Reto,Sin Habilidad,90 - 126 / Primera Edición,Cristian Aguirre,Tenaz ser que desentraña las preciosas esencias del corazón del mundo.
90,Pan-Gu,https://static.wikia.nocookie.net/myl-tcg/images/b/b1/Pan-gu.jpg/revision/latest?cb=20221117113717&path-prefix=es,Talismán,Sin Fuerza,3,Sin Raza,Vasallo,El Reto,"Busca una carta ""Talismán"" en tu cementerio y ponla en tu mano.",91 - 126 / Primera Edición,Waldo Retamales,El viento nace de su aliento y su voz se transforma en trueno.
91,Beowulf,https://static.wikia.nocookie.net/myl-tcg/images/8/8c/Beowulf.jpg/revision/latest?cb=20201009022342&path-prefix=es,Aliado,1,1,Sin Raza,Vasallo,El Reto,Sin Habilidad,92 - 126 / Primera Edición,Mauricio Herrera,Gigantes y dragones tiemblan al oír su nombre. No ha nacido quien pueda detener al rey de gotlandia.
92,Portal Celestial,https://static.wikia.nocookie.net/myl-tcg/images/9/95/Portal_celestial.jpg/revision/latest?cb=20201009022929&path-prefix=es,Oro,Sin Fuerza,Sin Costo,Sin Raza,Sin Frecuencia,El Reto,Sin Habilidad,93 - 126 / Primera Edición,David Bueno,Obstáculo final que deben superar las almas que ansían la eternidad.
93,Aquiles,https://static.wikia.nocookie.net/myl-tcg/images/7/76/Aquiles.jpg/revision/latest?cb=20200522131737&path-prefix=es,Talismán,Sin Fuerza,2,Sin Raza,Vasallo,El Reto,Un aliado defensor gana +3 a la fuerza hasta el final del turno.,94 - 126 / Primera Edición,Mauricio Herrera,El cuerpo del apasionado y formidable héroe griego es invulnerable... salvo en su talón.
94,El Basajaun,https://static.wikia.nocookie.net/myl-tcg/images/0/00/ER-95.jpg/revision/latest?cb=20200518055343&path-prefix=es,Aliado,2,3,Sin Raza,Cortesano,El Reto,Si ataca debe ser bloqueado.,95 - 126 / Primera Edición,Waldo Retamales,Amo y Señor de las selvas vascas. Los pastores cantan plegarias por su protección.
95,Caballero Blanco,https://static.wikia.nocookie.net/myl-tcg/images/3/3b/Caballero_Blanco.jpg/revision/latest?cb=20201009023519&path-prefix=es,Aliado,1,1,Sin Raza,Vasallo,El Reto,Sin Habilidad,96 - 126 / Primera Edición,Mauricio Herrera,"El heroísmo como única razón de existencia, motor que conduce la vida hacia la leyenda."
96,Invunche,https://static.wikia.nocookie.net/myl-tcg/images/0/09/Invunche.jpg/revision/latest?cb=20201009023752&path-prefix=es,Talismán,Sin Fuerza,2,Sin Raza,Cortesano,El Reto,Las cartas oponentes pierden un punto de fuerza en este turno.,97 - 126 / Primera Edición,Mauricio Herrera,Los brujos de Chiloé sellaron su oscuro destino: cuidar las secretas catacumbas de la isla.
97,Vikingo,https://static.wikia.nocookie.net/myl-tcg/images/e/e1/Vikingo.jpg/revision/latest?cb=20201009024445&path-prefix=es,Aliado,3,3,Sin Raza,Vasallo,El Reto,Sin Habilidad,98 - 126 / Primera Edición,Mauricio Herrera,La aventura cruza los océanos montada en un dragón de madera. Indómito navegante que desafía a los dioses con su valor.
98,Serpiente Emplumada,https://static.wikia.nocookie.net/myl-tcg/images/a/a6/Serpiente_emplumada.jpg/revision/latest?cb=20201009025001&path-prefix=es,Aliado,1,1,Sin Raza,Cortesano,El Reto,La Serpiente Emplumada no puede ser bloqueada.,99 - 126 / Primera Edición,Mauricio Herrera,"Montada en los vientos de la fe, la serpiente entrega a los hombres el dulce veneno de la cultura."
99,Esfinge,https://static.wikia.nocookie.net/myl-tcg/images/3/3c/Esfinge.jpg/revision/latest?cb=20221117113420&path-prefix=es,Aliado,4,2,Sin Raza,Vasallo,El Reto,"La Esfinge no puede atacar, sólo defender.",100 - 126 / Primera Edición,Mauricio Herrera,La vida o la muerte separadas por una puerta de piedra. El ingenio es la llave para lograr el perdón.
100,Jinas,https://static.wikia.nocookie.net/myl-tcg/images/e/e6/Jinas.jpg/revision/latest?cb=20201009025804&path-prefix=es,Talismán,Sin Fuerza,3,Sin Raza,Cortesano,El Reto,Mira las 6 cartas superiores de tu castillo y ordénalas como quieras.,101 - 126 / Primera Edición,Cristian Aguirre,"Del fuego perpetuo de Alá, nacen extrañas criaturas que provocan la cólera de los hombres."
101,Kordrag,https://static.wikia.nocookie.net/myl-tcg/images/5/53/Kordrag.jpg/revision/latest?cb=20201009030854&path-prefix=es,Aliado,4,4,Sin Raza,Real,El Reto,Todos tus aliados se consideran caballeros cuando Kordrag está en juego.,102 - 126 / Primera Edición,Cristian Aguirre,"Indómito e imbatible guerrero, como todos los de su terrible casta, la más temida del reino de Drako."
102,Arpía,https://static.wikia.nocookie.net/myl-tcg/images/4/41/Arpia.jpg/revision/latest?cb=20201009033629&path-prefix=es,Talismán,Sin Fuerza,2,Sin Raza,Cortesano,El Reto,Dos cartas oponentes pierden un punto de fuerza por este turno.,103 - 126 / Primera Edición,Cristian Aguirre,"Vicio y maldad surcan los cielos griegos, atormentando el alma de los que quedan bajo su sombra."
103,Hydra,https://static.wikia.nocookie.net/myl-tcg/images/f/f4/R-104.jpg/revision/latest?cb=20201009035128&path-prefix=es,,2,3,Sin Raza,Vasallo,El Reto,Sin Habilidad,104 - 126 / Primera Edición,Mauricio Herrera,"En el oscuro pantano de Lerna, angustia, tormento, dolor, martirio, sufrimiento, agonía y muerte tienen un solo nombre."
104,Kel-Essuf,https://static.wikia.nocookie.net/myl-tcg/images/3/37/Kel-Essuf.jpg/revision/latest?cb=20201009034748&path-prefix=es,Aliado,2,4,Sin Raza,Vasallo,El Reto,Sin Habilidad,105 - 126 / Primera Edición,Mauricio Herrera,Las arenas del sahara se elevan exaltadas por la poderosa furia de sus voces.
105,Hércules,https://static.wikia.nocookie.net/myl-tcg/images/9/9c/Hercules_El_Reto.png/revision/latest?cb=20200530055443&path-prefix=es,Talismán,Sin Fuerza,5,Sin Raza,Cortesano,El Reto,Un aliado gana + 3 de fuerza permanentemente.,106 - 126 / Primera Edición,Cristian Aguirre,"Osado y fuerte, Hércules desafía a demonios, reyes y dioses para cumplir sus ""doce trabajos""."
106,Caballero Negro,https://static.wikia.nocookie.net/myl-tcg/images/c/c6/Caballero_negro.jpg/revision/latest?cb=20201009035646&path-prefix=es,Aliado,2,2,Sin Raza,Real,El Reto,"Al entrar en juego, todo los demás caballeros ganan +1 de fuerza permanentemente.",107 - 126 / Primera Edición,Mauricio Herrera,Su imagen se pierde en las noches del tiempo. Espíritu que vaga sin calma ni perdón.
107,Chon-Chon,https://static.wikia.nocookie.net/myl-tcg/images/f/f5/Chon-chon.jpg/revision/latest?cb=20201009035824&path-prefix=es,Talismán,Sin Fuerza,2,Sin Raza,Cortesano,El Reto,El oponente bota dos cartas de su castillo.,108 - 126 / Primera Edición,Mauricio Herrera,La calma nocturna del sur de Chile estalla con sus estridentes gritos que anuncian desastres.
108,Vampiro Oriental,https://static.wikia.nocookie.net/myl-tcg/images/a/a1/ER-109.jpg/revision/latest?cb=20221117113211&path-prefix=es,Talismán,Sin Fuerza,1,Sin Raza,Vasallo,El Reto,Roba dos cartas y bota una de tu mano.,109 - 126 / Primera Edición,Mauricio Herrera,El aroma de la sangre se mezcla con las milenarias sedas de su ropaje.
109,Pincoya,https://static.wikia.nocookie.net/myl-tcg/images/3/3f/Pincoya.jpg/revision/latest?cb=20201009040742&path-prefix=es,Talismán,Sin Fuerza,2,Sin Raza,Cortesano,El Reto,Un aliado en juego gana +1 de fuerza permanentemente.,110 - 126 / Primera Edición,Cristian Aguirre,Encanto y dulzura danzan al ritmo de las olas. Largas cabelleras doradas que coronan un alma cristalina y pura.
110,Minas del Rey Salomón,https://static.wikia.nocookie.net/myl-tcg/images/b/b5/Minas_del_Rey_Salomon.jpg/revision/latest?cb=20201009041142&path-prefix=es,Oro,Sin Fuerza,Sin Costo,Sin Raza,Sin Frecuencia,El Reto,Sin Habilidad,111 - 126 / Primera Edición,Waldo Retamales,Un alma noble podrá encontrar el mítico refugio de las riquezas mundanas.
111,Bruja Carabusse,https://static.wikia.nocookie.net/myl-tcg/images/8/85/Bruja_Carabusse.jpg/revision/latest?cb=20201009041535&path-prefix=es,Talisman,Sin Fuerza,1,Sin Raza,Cortesano,El Reto,Una carta oponente no puede bloquear en este turno.,112 - 126 / Primera Edición,Mauricio Herrera,Oscura figura del mal. Sus hechizos contaminan las vidas de todos los que la rodean.
112,Haiwatha,https://static.wikia.nocookie.net/myl-tcg/images/e/eb/ER-113.jpg/revision/latest?cb=20201009042023&path-prefix=es,Talismán,Sin Fuerza,2,Sin Raza,Vasallo,El Reto,Devuelve una carta del cementerio a tu mano.,113 - 126 / Primera Edición,Mauricio Herrera,La justiciera flecha del guerrero surca el aire buscando el cruel corazón de Kenabeek.
113,Zeus,https://static.wikia.nocookie.net/myl-tcg/images/b/bc/Zeus_Reto.png/revision/latest?cb=20221117113908&path-prefix=es,Talismán,Sin Fuerza,3,Sin Raza,Real,El Reto,Zeus te permite robar 6 cartas de tu mazo castillo.,114 - 126 / Primera Edición,Mauricio Herrera,Omnipotente padre de los hombres y de los dioses del Olimpo. El trueno y el rayo son sus aliados.
114,Poseidón,https://static.wikia.nocookie.net/myl-tcg/images/a/ac/Poseid%C3%B3n.jpg/revision/latest?cb=20200526055059&path-prefix=es,Talismán,Sin Fuerza,2,Sin Raza,Vasallo,El Reto,Mira la carta superior del mazo de tu oponente.,115 - 126 / Primera Edición,Mauricio Herrera,"En los mares del mundo, el rey utiliza un tridente como cetro y su poder como autoridad."
115,Minotauro,https://static.wikia.nocookie.net/myl-tcg/images/5/5f/Minotauro.jpg/revision/latest?cb=20200801034608&path-prefix=es,Aliado,2,3,Sin Raza,Vasallo,El Reto,Sin Habilidad,116 - 126 / Primera Edición,Mauricio Herrera,"Recluido en el laberinto de Creta, espera su ofrenda anual de seres humanos."
116,Cizin,https://static.wikia.nocookie.net/myl-tcg/images/f/fe/Cizin.jpg/revision/latest?cb=20201009042233&path-prefix=es,Aliado,X,5,Sin Raza,Real,El Reto,"Tiene fuerza igual al número de cartas ""oro"" que tengas en juego.",117 - 126 / Primera Edición,Mauricio Herrera,Suprema deidad de la muerte. Suciedad y putrefacción conviven con este poderoso soberano del Más Allá.
117,Merlín,https://static.wikia.nocookie.net/myl-tcg/images/9/9d/Merlin.jpg/revision/latest?cb=20201009043203&path-prefix=es,Talismán,Sin Fuerza,4,Sin Raza,Real,El Reto,Busca una carta de Caballero en tu castillo y ponla en juego.,118 - 126 / Primera Edición,Waldo Retamales,Poseedor del secreto de la creación. Su alma se mezcla con el espíritu del dragón.
118,Melusina,https://static.wikia.nocookie.net/myl-tcg/images/1/1b/Melusina.jpg/revision/latest?cb=20201009043758&path-prefix=es,Aliado,2,4,Sin Raza,Vasallo,El Reto,Sin Habilidad,119 - 126 / Primera Edición,Mauricio Herrera,Eterna condenada a la transformación. Cola de serpiente y alas de murciélago son su maldición.
119,Berserker,https://static.wikia.nocookie.net/myl-tcg/images/c/cc/Berserker.jpg/revision/latest?cb=20201009044121&path-prefix=es,Aliado,2,3,Sin Raza,Vasallo,El Reto,Berserker no puede ser bloqueado.,120 - 126 / Primera Edición,Mauricio Herrera,Su fiereza en combate es legendaria. Tropas enteras sucumben ante su espada.
120,Hades,https://static.wikia.nocookie.net/myl-tcg/images/2/23/Hades.jpg/revision/latest?cb=20221115181437&path-prefix=es,Talismán,Sin Fuerza,2,Sin Raza,Cortesano,El Reto,Elige una carta de aliado en juego y cámbiala por una de tu oponente (sólo por el juego).,121 - 126 / Primera Edición,Mauricio Herrera,Los condenados a la perpetua noche infernal tiemblan ante el amo de las sombras y la muerte.
121,Cuerno de la Abundancia,https://static.wikia.nocookie.net/myl-tcg/images/9/90/Cuerno_de_la_Abundancia.jpg/revision/latest?cb=20201009044707&path-prefix=es,Oro,Sin Fuerza,Sin Costo,Sin Raza,Sin Frecuencia,El Reto,Sin Habilidad,122 - 126 / Primera Edición,Waldo Retamales,Generoso caudal de prosperidad. Los dones fluyen de su interior.
122,Brujo Chilote,https://static.wikia.nocookie.net/myl-tcg/images/8/83/Brujo_Chilote.jpg/revision/latest?cb=20201009045017&path-prefix=es,Aliado,1,3,Sin Raza,Vasallo,El Reto,Sin Habilidad,123 - 126 / Primera Edición,Mauricio Herrera,La vida y la muerte no tienen secretos. Su adhesión al demonio es total.
123,Zusano,https://static.wikia.nocookie.net/myl-tcg/images/c/c2/Zusano.jpg/revision/latest?cb=20201009045337&path-prefix=es,Aliado,2,5,Sin Raza,Vasallo,El Reto,Sin Habilidad,124 - 126 / Primera Edición,Mauricio Herrera,"Dios de las tormentas. Desterrado de este mundo, se transforma en un feroz samurai."
124,Eshu,https://static.wikia.nocookie.net/myl-tcg/images/0/0d/ER-125.jpg/revision/latest?cb=20201009045432&path-prefix=es,Aliado,1,2,Sin Raza,Vasallo,El Reto,Sin Habilidad,125 - 126 / Primera Edición,Waldo Retamales,"Mediador divino, justa balanza que equilibra fuerzas y destinos."
125,El Alicanto,https://static.wikia.nocookie.net/myl-tcg/images/6/66/El_alicanto.jpg/revision/latest?cb=20201009045936&path-prefix=es,Aliado,1,3,Sin Raza,Vasallo,El Reto,Sin Habilidad,126 - 126 / Primera Edición,Waldo Retamales,La ambición conduce al abismo. Sólo los humildes podrán ver su luz.
